model_selector,segment,a1,a2,a3,a4,a5,a6,a7,a8,EMPEDU_P,EMPFOO_P,EMPGOV_P,EMPIND_P,EMPMED_P,EMPOFC_P,EMPOTH_P,EMPRET_P,EMPSVC_P
non_mandatory,res_bus1,1,0,0,0,0,0,0,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus2,0,1,0,0,0,0,0,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus3,0,0,1,0,0,0,0,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus4,0,0,0,1,0,0,0,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus5,0,0,0,0,1,0,0,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus6,0,0,0,0,0,1,0,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus7,0,0,0,0,0,0,1,0,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_bus8,0,0,0,0,0,0,0,1,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.014483541,0.015154491,0.015154491
non_mandatory,res_per1,1,0,0,0,0,0,0,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per2,0,1,0,0,0,0,0,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per3,0,0,1,0,0,0,0,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per4,0,0,0,1,0,0,0,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per5,0,0,0,0,1,0,0,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per6,0,0,0,0,0,1,0,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per7,0,0,0,0,0,0,1,0,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,res_per8,0,0,0,0,0,0,0,1,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.014483541,0.017833399,0.017833399
non_mandatory,vis_bus,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006678544,0.006678544,0.017795106,0.006678544,0.006678544,0.010166441,0.014483541,0.006678544,0.006678544
non_mandatory,vis_per,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.014483541,0.003375226,0.003375226
