coefficient_name,value,constrain
coef_zero,0.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_PARK,0.8,T
coef_nest_PARK_ESCORT,1.0,T
coef_nest_RENTAL,1.0,T
coef_nest_SHUTTLEVAN,1.0,T
coef_nest_HOTEL_COURTESY,1.0,T
coef_nest_RIDEHAIL,0.8,T
coef_nest_TRANSIT,1.0,T
coef_nest_CURB,0.8,T
coef_nest_TRANSIT_WALKACCESS,0.8,T
coef_nest_TRANSIT_PNRACCESS,0.8,T
coef_nest_TRANSIT_KNRACCESS,0.8,T
coef_nest_TRANSIT_TNCACCESS,0.8,T
coef_nest_WALK,0.8,T
#,,
coef_c_cost_0,-0.003,F
coef_c_cost_1,-0.001,F
coef_c_cost_2,-0.0006,F
coef_c_cost_3,-0.0004,F
coef_c_cost_4,-0.0003,F
coef_c_cost_5,-0.0003,F
coef_c_cost_6,-0.0002,F
coef_c_cost_7,-0.0001,F
#,,F
coef_ivt_arrival,-0.025,F
coef_ivt,-0.03,F
coef_wait,-0.05,F
coef_walk,-0.05,F
coef_c_cost_per_0,-0.0015,F
coef_c_cost_per_1,-0.0005,F
coef_c_cost_per_2,-0.0003,F
coef_c_cost_per_3,-0.0002,F
coef_c_cost_per_4,-0.00015,F
coef_c_cost_per_5,-0.00015,F
coef_c_cost_per_6,-0.0001,F
coef_c_cost_per_7,-5e-05,F
#,,
coef_asc_res_bus_park,2.63653,F
coef_asc_res_per_park,1.59916,F
coef_asc_vis_bus_park,0.0,F
coef_asc_vis_per_park,0.0,F
coef_asc_ext_park,2.94979,F
coef_asc_res_bus_escort,-4.05123,F
coef_asc_res_per_escort,-2.80881,F
coef_asc_vis_bus_escort,-2.51533,F
coef_asc_vis_per_escort,-3.39789,F
coef_asc_ext_escort,-2.62887,F
coef_asc_res_bus_rental,0.0,F
coef_asc_res_per_rental,0.0,F
coef_asc_vis_bus_rental,8.57754,F
coef_asc_vis_per_rental,6.11794,F
coef_asc_ext_rental,6.78952,F
coef_asc_res_bus_shuttle,-1.86418,F
coef_asc_res_per_shuttle,-1.59224,F
coef_asc_vis_bus_shuttle,0.9648,F
coef_asc_vis_per_shuttle,-0.89075,F
coef_asc_ext_shuttle,-0.8026,F
coef_asc_res_bus_ridehail,0.97742,F
coef_asc_res_per_ridehail,0.16894,F
coef_asc_vis_bus_ridehail,2.51522,F
coef_asc_vis_per_ridehail,0.35176,F
coef_asc_ext_ridehail,2.97719,F
coef_asc_res_bus_curbside,0.0,F
coef_asc_res_per_curbside,0.0,F
coef_asc_vis_bus_curbside,0.0,F
coef_asc_vis_per_curbside,0.0,F
coef_asc_ext_curbside,0.0,F
coef_asc_res_bus_transit,-2.66664,F
coef_asc_res_per_transit,-2.77322,F
coef_asc_vis_bus_transit,-1.77575,F
coef_asc_vis_per_transit,-2.74109,F
coef_asc_ext_transit,-3.43677,F
# coefs from NREL model,,
# resident coefficients,,
coef_ivt_res,-0.019,F
coef_ivt_res_bus,-0.012,F
coef_hh_inc_50_125k_res_park_on_airport,-0.611,F
coef_year_2019_res_tnc,0.481,F
coef_res_ASC_tnc,-1.224,F
coef_res_ASC_taxi_limo,-0.645,F
coef_res_ASC_shuttle,-1.282,F
# visitor coefficients,,
coef_ivt_vis,-0.022,F
coef_ivt_vis_bus,-0.032,F
coef_party_of_1_vis_tnc,-0.771,F
coef_party_of_1_vis_shuttle,-0.661,F
coef_hh_inc_lt_50k_vis_tnc,-0.727,F
coef_hh_inc_50k_125k_vis_tnc,-0.727,F
coef_year_2019_vis_tnc,1.397,F
coef_vis_ASC_tnc,-1.324,F
coef_vis_ASC_transit,-1.272,F
coef_vis_ASC_taxi_limo,-3.786,F
coef_vis_ASC_shuttle,-1.988,F
# FIXME coefficients not applied -- age not available,,
coef_age_res_lt_35_park_off_airport,-0.758,F
coef_age_res_lt_35_tnc,-0.758,F
coef_age_res_lt_35_transit,-0.758,F
coef_age_vis_lt_35_shuttle,-1.371,F
# airport calibration coefficients,,
coef_calib_park_loc1,1.4972790105147318,F
coef_calib_park_loc2,-1.559520660551465,F
coef_calib_park_loc3,-1.3885298364002476,F
coef_calib_park_loc4,-1.8293707347763963,F
coef_calib_park_loc5,-2.627844905408873,F
coef_calib_park_escort,-1.1766866635735451,F
coef_calib_rental,-0.04247586166746852,F
coef_calib_shuttlevan,-0.4846694281596796,F
coef_calib_hotel_courtesy,1.6260770076484343,F
coef_calib_ridehail_loc1,0.482669691988712,F
coef_calib_ridehail_loc2,0.0,F
coef_calib_taxi_loc1,0.6365105959981583,F
coef_calib_taxi_loc2,0.0,F
coef_calib_curb_loc1,0.0,F
coef_calib_curb_loc2,0.06768044825290313,F
coef_calib_curb_loc3,0.0,F
coef_calib_curb_loc4,0.0,F
coef_calib_curb_loc5,0.0,F
coef_calib_walk_bus,2.7934059644895894,F
coef_calib_walk_lr,3.723391171722338,F
coef_calib_walk_cr,-5.0,F
coef_calib_walk_fr,-5.0,F
coef_calib_walk_fp,-5.0,F
